1906,東証JQS,100
1907,東証1部,100
1909,東証1部,100
1911,東証1部,100
1914,東証1部,100
1916,東証1部,1000
1919,東証1部,1000
1921,東証1部,100
1924,東証1部,1000
1925,東証1部,100
1926,東証1部,100
1928,東証1部,100
1929,東証1部,100
1930,東証1部,1000
1931,東証2部,1000
1932,東証1部,1000
1933,東証2部,1000
1934,東証1部,1000
1935,東証2部,1000
1937,東証1部,1000
1938,東証2部,1000
1939,東証1部,1000
1940,東証2部,1000
1941,東証1部,100
1942,東証1部,1000
1943,東証1部,100
1944,東証1部,1000
1945,東証1部,1000
1946,東証1部,1000
1948,東証2部,1000
1949,東証1部,100
1950,東証1部,100
1951,東証1部,100
1952,東証1部,100
1954,東証1部,1000
1955,東証1部,1000
1956,東証1部,1000
1957,東証2部,1000
1959,東証1部,1000
1960,東証2部,1000
1961,東証1部,100
1963,東証1部,1000
1964,東証1部,1000
1965,東証2部,100
1966,東証2部,100
1967,東証1部,1000
1968,東証1部,1000
1969,東証1部,100
1970,東証1部,1000
1971,東証2部,1000
1972,東証1部,1000
1973,東証1部,100
1975,東証1部,1000
1976,東証1部,1000
1978,東証1部,1000
1979,東証1部,100
1980,東証1部,1000
1981,東証JQS,1000
1982,東証1部,100
1983,東証1部,100
1984,東証JQS,1000
1987,東証2部,1000
1989,東証2部,100
1992,東証JQS,1000
1994,東証JQS,1000
1997,東証JQS,1000
2001,東証1部,1000
2002,東証1部,100
2003,東証1部,1000
2004,東証1部,1000
2006,東証2部,1000
2008,東証2部,1000
2009,東証1部,100
2021,東証,1
2022,東証,1
2023,東証,1
2024,東証,1
2025,東証,1
2026,東証,1
2027,東証,1
2028,東証,1
2029,東証,1
2030,東証,1
2031,東証,1
2032,東証,1
2033,東証,1
2034,東証,1
2035,東証,1
2036,東証,1
2037,東証,1
2038,東証,1
2039,東証,1
2040,東証,1
2041,東証,1
2042,東証,1
2043,東証,1
2044,東証,1
2045,東証,1
2046,東証,1
2047,東証,1
2051,東証1部,1000
2052,東証1部,1000
2053,東証1部,100
2055,東証2部,1000
2056,東証1部,1000
2059,東証1部,100
2060,東証1部,100
2107,東証1部,1000
2108,東証1部,1000
2109,東証1部,1000
2112,東証1部,100
2114,東証2部,1000
2116,東証2部,1000
2117,東証2部,100
2120,東証1部,100
2121,マザーズ,100
2122,マザーズ,100
2123,マザーズ,100
2124,東証JQS,100
2127,東証1部,100
2128,東証1部,100
2131,東証1部,100
2132,東証2部,100
2133,マザーズ,1
2134,東証JQS,100
2136,東証JQS,100
2138,東証JQS,100
2142,マザーズ,1
2144,東証JQG,100
2145,東証JQS,100
2146,東証JQS,100
2148,マザーズ,100
2150,マザーズ,100
2151,東証1部,100
2152,東証JQS,100
2153,東証2部,100
2154,東証1部,100
2155,マザーズ,100
2156,東証JQS,100
2157,東証JQS,100
2158,マザーズ,100
2159,マザーズ,100
2160,マザーズ,1000
2162,東証JQS,100
2163,東証JQS,100
2164,東証JQG,100
2165,東証JQS,100
2168,東証1部,100
2169,東証1部,100
2170,東証1部,100
2173,東証JQG,100
2174,東証1部,100
2175,東証1部,100
2176,東証JQS,100
2178,マザーズ,100
2179,東証JQS,100
2180,東証JQG,100
2181,東証1部,100
2182,東証JQS,100
2183,東証1部,100
2185,東証JQS,100
2186,東証JQS,100
2190,東証JQS,100
2191,東証JQS,100
2193,東証1部,100
2195,東証JQG,100
2196,東証1部,100
2198,東証1部,100
2201,東証1部,1000
2202,東証1部,1000
2204,東証1部,1000
2206,東証1部,100
2207,東証1部,100
2208,東証2部,1000
2209,東証2部,1000
2211,東証1部,1000
2212,東証1部,1000
2215,東証1部,1000
2216,東証2部,1000
2217,東証1部,1000
2220,東証1部,100
2221,東証JQS,100
2222,東証1部,100
2224,東証JQS,100
2226,東証JQS,100
2228,東証JQS,100
2229,東証1部,100
2261,東証1部,1000
2262,東証1部,500
2264,東証1部,1000
2266,東証1部,100
2267,東証1部,100
2268,東証JQS,100
2269,東証1部,100
2270,東証1部,100
2281,東証1部,1000
2282,東証1部,1000
2284,東証1部,1000
2286,東証1部,1000
2288,東証1部,1000
2290,東証1部,100
2291,東証2部,1000
2292,東証1部,100
2293,東証JQS,1000
2294,東証JQS,100
2300,東証JQS,100
2301,東証1部,100
2303,東証JQS,100
2304,東証JQS,100
2305,東証1部,100
2307,東証JQS,100
2309,東証1部,100
2311,東証JQS,100
2315,東証JQS,100
2317,東証1部,100
2321,東証JQG,100
2322,東証1部,100
2323,東証JQS,100
2325,東証2部,100
2326,東証1部,100
2327,東証1部,100
2329,東証JQS,100
2330,東証JQS,100
2331,東証1部,100
2332,東証JQS,100
2335,東証1部,100
2337,東証JQS,100
2338,マザーズ,100
2340,東証JQS,100
2341,東証JQS,100
2342,マザーズ,100
2344,東証JQS,100
2345,東証2部,100
2347,マザーズ,1
2349,東証JQS,100
2351,マザーズ,100
2352,マザーズ,100
2353,東証1部,100
2354,東証2部,100
2355,マザーズ,1
2356,マザーズ,1
2359,東証1部,100
2362,東証JQS,100
2363,マザーズ,1
2369,マザーズ,100
2370,マザーズ,100
2371,東証1部,100
2372,東証1部,100
2373,東証JQS,100
2374,東証JQS,100
2375,マザーズ,100
2376,東証JQS,100
2378,東証1部,100
2379,東証1部,100
2384,東証1部,100
2385,マザーズ,100
2388,東証JQG,100
2389,東証1部,100
2391,東証JQS,100
2392,東証1部,1
2393,東証2部,100
2394,東証2部,1
2395,東証1部,100
2397,東証2部,100
2398,東証1部,100
2399,東証1部,100
2400,東証JQS,100
2402,マザーズ,100
2403,マザーズ,1
2404,マザーズ,100
2405,マザーズ,100
2406,東証JQS,100
2408,東証JQS,100
2409,マザーズ,1
2410,東証1部,100
2411,東証JQS,100
2412,東証2部,100
2413,東証1部,100
2415,東証JQS,100
2417,東証2部,100
2418,東証1部,100
2419,東証1部,100
2425,東証JQG,100
2427,東証1部,100
2428,東証2部,100
2429,東証JQS,100
2432,東証1部,100
2433,東証1部,100
2434,東証JQS,100
2435,東証JQS,100
2436,東証JQS,100
2437,東証JQS,100
2438,マザーズ,100
2440,東証1部,100
2445,東証2部,100
2449,東証JQS,100
2450,東証1部,100
2451,マザーズ,1000
2453,東証1部,100
2454,東証JQS,100
2458,東証JQS,100
2459,マザーズ,100
2461,東証1部,100
2462,東証1部,100
2463,マザーズ,1
2464,マザーズ,100
2466,東証1部,100
2468,マザーズ,100
2469,東証JQS,100
2471,東証JQS,100
2475,東証1部,100
2477,マザーズ,100
2478,マザーズ,1
2479,東証JQG,100
2480,東証JQS,100
2481,東証JQS,100
2483,東証JQS,100
2484,東証JQS,100
2485,東証1部,100
2487,東証JQS,100
2488,東証JQS,100
2489,マザーズ,100
2491,東証1部,100
2492,マザーズ,100
2493,東証JQS,100
2497,マザーズ,100
2498,東証JQS,100
2499,東証2部,100
2501,東証1部,1000
2502,東証1部,100
2503,東証1部,100
2531,東証1部,100
2533,東証1部,1000
2536,東証1部,1000
2538,東証2部,1000
2540,東証1部,1000
2572,東証1部,100
2573,東証2部,1000
2578,東証1部,100
2579,東証1部,100
2580,東証1部,100
2587,東証1部,100
2588,東証2部,100
2590,東証1部,100
2593,東証1部,100
2594,東証1部,100
2597,東証1部,100
2599,東証1部,100
2602,東証1部,1000
2607,東証1部,100
2608,東証2部,1000
2611,東証2部,1000
2612,東証1部,100
2613,東証1部,1000
2651,東証1部,100
2652,マザーズ,100
2653,東証JQS,100
2654,東証2部,1000
2655,東証2部,100
2656,東証JQS,100
2657,東証1部,100
2658,東証JQS,1000
2659,東証1部,100
2660,東証1部,100
2662,東証1部,100
2664,東証1部,100
2665,東証2部,100
2666,東証JQS,100
2667,東証JQS,100
2668,東証2部,100
2669,東証JQS,100
2670,東証1部,100
2673,東証JQS,100
2674,東証1部,100
2675,東証2部,100
2676,東証1部,100
2678,東証1部,100
2681,東証1部,100
2683,東証2部,100
2684,東証JQS,1
2685,東証1部,100
2687,東証1部,1000
2689,東証2部,100
2690,東証2部,100
2692,東証1部,100
2693,東証JQS,100
2694,東証JQS,100
2695,東証1部,100
2698,東証1部,100
2700,東証JQS,1000
2702,東証JQS,100
2703,東証JQS,100
2705,東証JQS,100
2706,東証JQS,1000
2708,東証JQS,100
2710,東証JQS,1000
2712,東証JQS,100
2714,東証JQS,100
2715,東証1部,100
2719,東証2部,100
2721,東証JQS,100
2722,東証JQS,100
2724,東証JQG,100
2726,東証1部,100
2729,東証1部,100
2730,東証1部,100
2733,東証1部,1000
2734,東証1部,100
2735,東証1部,100
2736,東証JQS,1000
2737,東証1部,100
2738,東証1部,1
2742,東証JQS,100
2743,東証JQS,100
2747,東証JQS,1000
2749,東証1部,100
2750,東証JQS,100
2751,東証JQS,100
2752,東証JQS,100
2753,東証1部,100
2754,東証JQS,1000
2759,東証JQS,100
2760,東証1部,100
2761,東証JQS,100
2762,東証2部,100
2763,東証JQS,100
2764,東証1部,100
2766,東証2部,100
2767,東証JQS,100
2768,東証1部,100
2769,東証JQS,100
2772,東証1部,100
2773,東証JQS,100
2776,東証JQS,100
2777,東証JQS,100
2778,東証JQS,100
2780,東証2部,100
2781,東証2部,100
2782,東証JQS,100
2784,東証1部,100
2786,東証1部,100
2788,マザーズ,100
2789,東証JQS,100
2790,東証JQS,100
2791,東証1部,100
2792,東証1部,100
2794,東証1部,100
2795,東証JQS,100
2796,東証2部,100
2798,マザーズ,100
2799,東証JQS,100
2801,東証1部,1000
2802,東証1部,1000
2804,東証2部,1000
2805,東証2部,100
2806,東証2部,100
2809,東証1部,100
2810,東証1部,100
2811,東証1部,100
2812,東証1部,100
2813,東証JQS,1000
2814,東証JQS,100
2815,東証1部,100
2816,東証2部,100
2817,東証JQS,1000
2818,東証2部,100
2819,東証2部,100
2830,東証2部,100
2831,東証2部,1000
2871,東証1部,1000
2872,東証2部,1000
2874,東証1部,100
2875,東証1部,100
2876,東証JQS,100
2877,東証JQS,100
2882,東証1部,100
2891,東証2部,1000
2892,東証2部,1000
2893,東証2部,1000
2894,東証2部,1000
2897,東証1部,100
2898,東証2部,1000
2899,東証1部,1000
2901,東証JQS,100
2903,東証2部,1000
2904,東証2部,100
2905,東証JQS,1000
2907,東証2部,100
2908,東証1部,1000
2910,東証1部,100
2911,東証2部,1000
2914,東証1部,100
2915,東証1部,100
2916,東証JQS,100
2917,東証JQS,1000
2918,東証1部,100
2922,東証1部,100
2923,東証2部,100
2924,東証2部,100
2925,東証JQS,100
2926,マザーズ,100
2927,東証JQS,100
2929,マザーズ,100
2930,東証2部,100
2931,マザーズ,100
3001,東証1部,100
3002,東証1部,1000
3003,東証1部,100
3004,東証1部,1000
3009,東証1部,1000
3010,東証2部,1000
3011,東証2部,100
3020,東証JQS,100
3021,マザーズ,100
3022,東証1部,100
3023,東証1部,100
3024,東証JQS,100
3027,東証JQS,100
3028,東証1部,100
3030,東証JQS,100
3031,マザーズ,100
3034,東証1部,100
3035,東証JQS,100
3036,東証1部,100
3037,東証JQG,1
3038,東証1部,100
3040,東証JQS,100
3041,マザーズ,100
3042,東証JQG,100
3043,東証JQG,100
3045,東証2部,100
3046,東証1部,100
3048,東証1部,100
3049,東証2部,1
3050,東証1部,100
3053,マザーズ,100
3054,東証JQS,100
3058,東証JQS,100
3059,東証2部,100
3060,マザーズ,1
3063,マザーズ,100
3064,東証1部,100
3065,東証JQS,1000
3067,マザーズ,100
3068,東証JQS,100
3069,東証JQS,100
3070,東証JQG,100
3071,マザーズ,100
3073,東証JQS,100
3074,マザーズ,1
3075,東証JQS,100
3076,東証1部,100
3077,東証JQS,100
3078,東証1部,100
3079,東証1部,100
3080,東証JQS,100
3082,東証1部,100
3083,東証JQS,100
3085,東証1部,100
3086,東証1部,100
3087,東証1部,100
3088,東証1部,100
3089,東証JQS,100
3090,東証JQG,100
3091,東証1部,100
3092,東証1部,100
3093,マザーズ,100
3094,東証JQS,100
3096,東証JQS,100
3097,東証1部,100
3098,東証1部,100
3099,東証1部,100
3101,東証1部,1000
3103,東証1部,1000
3104,東証1部,1000
3105,東証1部,1000
3106,東証1部,1000
3107,東証1部,1000
3109,東証1部,1000
3110,東証1部,1000
3111,東証2部,1000
3113,東証2部,100
3116,東証1部,100
3121,東証2部,100
3123,東証2部,100
3125,東証2部,1000
3140,東証JQG,100
3141,東証1部,100
3143,東証2部,100
3147,東証JQS,100
3148,東証1部,100
3150,東証JQS,100
3151,東証1部,100
3153,東証1部,100
3154,東証JQS,100
3156,東証1部,100
3157,東証JQS,100
3159,東証1部,100
3160,東証2部,100
3161,東証2部,100
3163,東証JQS,100
3165,東証JQS,100
3166,東証2部,100
3167,東証1部,100
3168,東証2部,100
3169,マザーズ,100
3170,東証JQS,100
3171,東証JQS,100
3172,東証2部,100
3173,東証JQS,100
3174,東証JQS,100
3175,東証1部,100
3176,東証1部,100
3177,東証JQS,100
3178,東証1部,100
3179,マザーズ,100
3180,マザーズ,100
3181,東証JQS,100
3182,マザーズ,100
3183,東証1部,100
3184,東証2部,100
3185,マザーズ,100
3186,東証1部,100
3187,マザーズ,100
3189,東証JQS,100
3190,東証JQS,100
3191,東証1部,100
3192,東証JQS,100
3193,東証JQS,100
3194,東証1部,100
3195,マザーズ,100
3196,マザーズ,100
3197,東証1部,100
3201,東証1部,1000
3202,東証1部,1000
3204,東証1部,1000
3205,東証1部,100
3207,東証2部,1000
3209,東証2部,1000
3216,東証1部,1000
3225,東証1部,100
3226,東証,1
3227,東証,1
3228,東証1部,100
3229,東証,1
3230,東証JQS,100
3231,東証1部,100
3234,東証,1
3235,マザーズ,1
3236,東証JQS,100
3237,マザーズ,100
3238,東証2部,100
3240,東証,1
3241,東証JQS,100
3242,東証JQS,100
3244,東証JQS,100
3245,マザーズ,100
3246,東証JQS,100
3248,マザーズ,100
3249,東証,1
3250,東証JQS,100
3251,マザーズ,100
3254,東証1部,100
3258,東証1部,100
3263,東証,1
3264,東証JQS,100
3265,東証1部,100
3266,東証JQS,100
3268,東証JQS,100
3269,東証,1
3271,東証2部,100
3274,東証JQS,100
3275,東証JQS,100
3276,東証1部,100
3277,東証2部,100
3278,東証,1
3279,東証,1
3280,東証1部,100
3281,東証,1
3282,東証,1
3283,東証,1
3284,東証1部,100
3285,東証,1
3286,マザーズ,100
3287,東証,1
3288,東証1部,100
3289,東証1部,100
3290,東証,1
3291,東証1部,100
3292,東証,1
